Step,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Orientation,Angular_Velocity_X,Angular_Velocity_Y,Angular_Velocity_Z,Action_Type,Action_Vector,Curiosity_Reward,World_Loss,Self_Loss,Reward_Trend
0,-0.002677397594690912,-3.1307432422755758e-09,0.19999007630029814,-0.6425754227258189,-7.513783781461382e-07,-0.0023816879284515036,"(6.126150298145816e-11, 2.2684904702998085e-06, -1.962840676718791e-08, 0.9999999999974267)",2.940552143112513e-08,0.001088875425744842,-9.421635248258276e-06,backward,"[-50.0, 0, 0, 0]",0.3645678162574768,0.13310164213180542,0.061237502843141556,0.3645678162574768
1,-0.007081173754861654,-6.322312700297908e-09,0.1999900000000002,-1.0569062784409782,-7.659766699253598e-07,-1.831207150734121e-05,"(1.6405995554097543e-10, -5.1710725108229683e-05, -3.925353499777838e-08, 0.9999999986629997)",4.8813315491360934e-08,-0.025910023488757438,-9.420063267027989e-06,backward,"[-50.0, 0, 0, 0]",0.3641364872455597,0.13277068734169006,1.1791714429855347,0.36435215175151825
2,-0.011474929464442427,-9.506668620563368e-09,0.19998999999999992,-1.054501370299386,-7.642454208637104e-07,-6.493416915276384e-14,"(-2.8024008989444046e-07, -0.00015887166301236806, -0.005425379463758058, 0.9999852699002073)",6.716323769328502e-08,-0.051437867717795765,-2.6041760851192453,rotate_right,"[0, 0, 0, -5.0]",0.3636273741722107,0.13243822753429413,0.00010745133477030322,0.3641105592250824
3,-0.015858673733424665,-1.2683817478795716e-08,0.19999,-1.0520986245557375,-7.625157259757633e-07,2.1066481892262345e-14,"(-1.1338767404068744e-06, -0.00031912001509177656, -0.016272142300233848, 0.9998675490014121)",8.547296505758299e-08,-0.07692779817508402,-5.20677821315996,rotate_right,"[0, 0, 0, -5.0]",0.3631024956703186,0.13209901750087738,0.16259630024433136,0.36385854333639145
4,-0.020232411745398533,-1.5853762991234074e-08,0.19998999999999958,-1.0496971228737286,-7.607869229852057e-07,-9.758860386455126e-14,"(-2.852489462988758e-06, -0.0005322905704926323, -0.03252869965975081, 0.9994706600781523)",1.0373472187876493e-07,-0.10236904526072173,-7.805558167221063,rotate_right,"[0, 0, 0, -5.0]",0.3624499440193176,0.13172867894172668,0.10406836122274399,0.3635768234729767
5,-0.024596148673258097,-1.901650880971653e-08,0.19998999999999978,-1.047296862686295,-7.590589964357892e-07,4.38676872605015e-14,"(-5.725708475885753e-06, -0.0007980664153356349, -0.054170965626159924, 0.9985313563130316)",1.2193281982424833e-07,-0.12773963104785405,-10.398268578151376,rotate_right,"[0, 0, 0, -5.0]",0.3615875244140625,0.1312493234872818,0.08935920894145966,0.36324527362982434
6,-0.02894988967921953,-2.217205858029733e-08,0.19998999999999933,-1.0448978414307444,-7.573319449393921e-07,-1.0522138715884921e-13,"(-5.710792489769016e-06, -0.0011160500724978124, -0.07574676823770239, 0.9971264621406686)",1.4005175342817414e-07,-0.1530177792454693,-10.378513509192869,left,"[0, -50.0, 0, 0]",0.3603834807872772,0.13063563406467438,0.04213278368115425,0.362836446080889
7,-0.03329363991483876,-2.5320415946626718e-08,0.19998999999999975,-1.0425000565486149,-7.556057679190533e-07,1.0239725733995897e-13,"(-7.719829918611342e-06, -0.0014857275200431007, -0.10264450916559141, 0.9947169935676655)",1.5813694647487248e-07,-0.17824839800761974,-12.96299621584052,rotate_right,"[0, 0, 0, -5.0]",0.35884004831314087,0.12977640330791473,0.06641706079244614,0.3623368963599205
8,-0.037627404521029625,-2.846158453147462e-08,0.19998999999999992,-1.0401035054858074,-7.538804603634969e-07,3.928107839001882e-14,"(-4.261758899591621e-06, -0.0019063459201775987, -0.12940505141168065, 0.9915899850725653)",1.7612002485473983e-07,-0.20335438132664022,-12.932826524414438,left,"[0, -50.0, 0, 0]",0.35682621598243713,0.12866653501987457,0.0009123319177888334,0.3617245985402001
9,-0.041951188628081525,-3.1595567931816576e-08,0.19998999999999909,-1.0377081856924555,-7.521560160820685e-07,-1.979527652906654e-13,"(6.0708356913350485e-06, -0.0023773232155716055, -0.15600982515610354, 0.9877526424931677)",1.940624280486826e-07,-0.22840294360153807,-12.902791274475888,left,"[0, -50.0, 0, 0]",0.3544887900352478,0.12726964056491852,0.0013777450658380985,0.3610010176897049
10,-0.04461320905404336,0.0005331520925135596,0.19998999999999928,-0.6388849022308409,0.12796408513955795,4.624772786954168e-14,"(1.326951495693527e-05, -0.0029011208902082405, -0.18244055898727515, 0.9832126045560599)",-0.00563832901580104,-0.2540168361034741,-12.87288945916818,forward,"[50.0, 0, 0, 0]",0.3518536388874054,0.12575523555278778,0.033406905829906464,0.36016943779858673
11,-0.04564872292152488,0.0016817249604936459,0.19998999999999914,-0.2485233281955648,0.2756574883152207,-3.3938130084010254e-14,"(-1.843365850539114e-05, -0.003462294039736551, -0.20867924243224897, 0.9779780089337824)",-0.02753639875849634,-0.26921929882367807,-12.843120051914251,forward,"[50.0, 0, 0, 0]",0.3486885130405426,0.12371119111776352,0.010015066713094711,0.3592126940687497
12,-0.04667902487515869,0.00282313500641596,0.19998999999999925,-0.2472724688721135,0.2739384110213553,2.713801405818117e-14,"(-0.00010450912041250734, -0.004058422975707014, -0.23997858115358411, 0.9707696940409227)",-0.04817388851459951,-0.2835238518731812,-15.417649141360366,rotate_right,"[0, 0, 0, -5.0]",0.3454793691635132,0.12159856408834457,0.005630838219076395,0.3581562844606546
13,-0.04770411432537538,0.003957385815516197,0.1999899999999995,-0.24602146805200567,0.2722201941840568,5.94246873930615e-14,"(-0.0002246274987212472, -0.004689289801279368, -0.2709454784576637, 0.9625832472087773)",-0.0687384460159441,-0.2976801771503709,-15.375455324996802,right,"[0, 50.0, 0, 0]",0.3417106568813324,0.11929865926504135,0.023302044719457626,0.35698159677641733
14,-0.048723990644126865,0.005084480993191445,0.1999899999999995,-0.24477031650035627,0.2705028426420594,-3.469446951953614e-16,"(-0.0003772450763047991, -0.0053552723847761965, -0.3015507147612248, 0.9534350240948943)",-0.0892424865068212,-0.3118063718830786,-15.333484201534722,left,"[0, -50.0, 0, 0]",0.33781224489212036,0.1169501543045044,0.05887993425130844,0.35570363998413085
15,-0.04973865316339999,0.006204424166134073,0.19998999999999897,-0.24351900462554915,0.2687863615062307,-1.249764181032731e-13,"(-0.0005607599801436158, -0.006056672872577046, -0.33176584025433453, 0.9433421592944389)",-0.10968637578354623,-0.32590281077567457,-15.291733900835142,left,"[0, -50.0, 0, 0]",0.3336484134197235,0.11416005343198776,0.05773342028260231,0.3543251883238554
16,-0.04940190800980918,0.00840172601472092,0.19998999999999895,0.08081883686179325,0.5273524436608434,-8.458511668862911e-15,"(-0.0008022674742180099, -0.006753433406729685, -0.36156309041196644, 0.9323228406275741)",-0.13667542406816546,-0.3171457785220784,-15.250202572764405,forward,"[50.0, 0, 0, 0]",0.32927024364471436,0.11140724271535873,0.023817330598831177,0.35285136804861184
17,-0.049067604256739485,0.010590291884966196,0.19998999999999895,0.08023290073672738,0.5252558088588661,8.81239525796218e-16,"(-0.0010952599662956929, -0.007446261603924269, -0.39091564654657446, 0.9203957360172883)",-0.1608283113341795,-0.30922062405553363,-15.208889489646397,left,"[0, -50.0, 0, 0]",0.32429173588752747,0.1083284392952919,0.03094855323433876,0.35126472181744045
18,-0.04873573849564626,0.012770124030785163,0.19998999999999895,0.07964778266237336,0.5231597149965524,-2.8796409701214998e-15,"(-0.0013989276975408798, -0.008143353052277928, -0.4148673499256768, 0.9098443882159241)",-0.18491917462160853,-0.3013270562537779,-12.56362616679919,rotate_left,"[0, 0, 0, 5.0]",0.31927788257598877,0.10526823997497559,0.000722958822734654,0.3495812039626272
19,-0.04727014038191142,0.016251467232377644,0.1999899999999989,0.35174354729636137,0.8355223683821948,-1.4113710200547303e-14,"(-0.0017614514398393549, -0.008830377573980072, -0.43848095483211125, 0.8986953732885499)",-0.21034407750151263,-0.2873175948132317,-12.535214365299842,forward,"[50.0, 0, 0, 0]",0.3137737512588501,0.1018717959523201,0.007700771559029818,0.3477908313274384
20,-0.04580890607872619,0.019724142937420745,0.1999899999999988,0.3506962327644553,0.8334421692103442,-1.932481952238163e-14,"(-0.0021751063852361433, -0.009508672346574733, -0.4617425653419345, 0.8869603471485452)",-0.2325532151093353,-0.2749748834268358,-12.506925999468729,left,"[0, -50.0, 0, 0]",0.30829301476478577,0.09858498722314835,0.005770131479948759,0.345909982919693
21,-0.04435203247340863,0.02318815464691957,0.19998999999999895,0.34964966527621383,0.8313628102797181,3.1911973064069343e-14,"(-0.00269073295784164, -0.01016590637355888, -0.48937679187294475, 0.8720090423154442)",-0.25471511857528795,-0.26266479708724777,-15.082926840662907,rotate_right,"[0, 0, 0, -5.0]",0.3025536835193634,0.09512438625097275,0.004906727001070976,0.3439392420378598
22,-0.0438026849591154,0.02516263575093031,0.19998999999999909,0.13184340343037498,0.473875464962578,3.421568584016654e-14,"(-0.0032470706364970464, -0.010815896763143427, -0.5164549670590483, 0.8562398845589523)",-0.27382633271974155,-0.2533406920990928,-15.042486085671733,backward,"[-50.0, 0, 0, 0]",0.29685696959495544,0.09172755479812622,0.01754753105342388,0.3418921867142553
23,-0.04244813791714949,0.02866333441129069,0.1999899999999986,0.3250912900718183,0.8401676784864914,-1.1569217805984522e-13,"(-0.003859839761533837, -0.011459491167712015, -0.5429546013096862, 0.8396749862987656)",-0.299681610123795,-0.2399497877146073,-15.002254679202366,forward,"[50.0, 0, 0, 0]",0.29115039110183716,0.08838865160942078,0.0006034763646312058,0.33977794523040455
24,-0.04038613987625486,0.03373719646109002,0.1999899999999986,0.49487952981471073,1.2177268919518387,-1.8041124150158794e-16,"(-0.004527974041572159, -0.012098508396670593, -0.568854240308063, 0.822336899834363)",-0.32554005147718806,-0.22681482193901498,-14.96223075000322,forward,"[50.0, 0, 0, 0]",0.28463321924209595,0.0846133753657341,0.00011716467270161957,0.3375721561908722
25,-0.038328546660220376,0.03880139806088452,0.1999899999999989,0.4938223718482759,1.2154083839506808,6.401823515744809e-14,"(-0.005177464259372865, -0.012759402871050029, -0.5897613126598262, 0.8074602068163953)",-0.3477834724588236,-0.2153829268213379,-12.318245871463487,rotate_left,"[0, 0, 0, 5.0]",0.27843448519706726,0.08098496496677399,0.010094689205288887,0.33529763038341814
26,-0.03627535493095425,0.04385594472712496,0.19998999999999922,0.4927660150238708,1.2130911998977052,8.257977635039992e-14,"(-0.005805735752857776, -0.013450328276205117, -0.6059273394544482, 0.7953850900056426)",-0.3701219415979987,-0.20407860907247688,-9.686722359451714,rotate_left,"[0, 0, 0, 5.0]",0.2724466323852539,0.0775529071688652,0.00958849024027586,0.3329698156427454
27,-0.034226561536383746,0.04890084204925861,0.1999899999999993,0.4917104146969198,1.210775357312077,2.053218706166149e-14,"(-0.0065546991802590176, -0.014112594944622357, -0.6260561587583705, 0.7796227014802093)",-0.39257380432973943,-0.1928905764337032,-12.27362092831723,rotate_right,"[0, 0, 0, -5.0]",0.26677820086479187,0.07437675446271896,0.006818555761128664,0.3306058294006756
28,-0.03218216314602152,0.05393609551905626,0.19998999999999917,0.4906556136869343,1.2084608327514363,-3.4389158187764224e-14,"(-0.007273660592730583, -0.014814087135726635, -0.6415799321892046, 0.7668786261827959)",-0.41481755899775874,-0.18164167721911897,-9.642285758632887,rotate_left,"[0, 0, 0, 5.0]",0.2611204981803894,0.07124998420476913,0.007251906208693981,0.32820978349652785
29,-0.03014215661676,0.0589617107019372,0.19998999999999897,0.4896015670227645,1.2061476438914267,-4.5630166312093934e-14,"(-0.008039798470295723, -0.015521964774504968, -0.6568164780624072, 0.7538478257551663)",-0.4371946252586451,-0.1704990147379537,-9.625166019417742,right,"[0, 50.0, 0, 0]",0.2559419572353363,0.06842710077762604,0.005567585118114948,0.3258008559544881
30,-0.028106538809399666,0.06397769315106819,0.19998999999999853,0.48854827376648013,1.2038357877914367,-1.0666467709086191e-13,"(-0.008852447924986968, -0.01623698526112473, -0.6717610422507876, 0.7405370325577926)",-0.45953397727999035,-0.15937836650579962,-9.60810284878287,right,"[0, 50.0, 0, 0]",0.2511700689792633,0.06582601368427277,0.004050925839692354,0.32339341121335186
31,-0.026075306588612974,0.06898404840737317,0.19998999999999878,0.48749573298880633,1.201525261513197,6.050715484207103e-14,"(-0.009710908597624955, -0.016959895749150727, -0.6864090257452435, 0.72695303119655)",-0.48183579614272243,-0.1482796343974864,-9.591095856831886,right,"[0, 50.0, 0, 0]",0.24673384428024292,0.06348547339439392,0.001961364410817623,0.3209977997466922
32,-0.024048456822907772,0.07398078199954314,0.1999899999999987,0.4864439437692479,1.199216062120794,-1.8984813721090177e-14,"(-0.010614445374259247, -0.017691432495498777, -0.7007559844970306, 0.7131026552728937)",-0.5041002609985253,-0.1372027214123508,-9.574144656505498,right,"[0, 50.0, 0, 0]",0.2420279085636139,0.06107085570693016,0.0009252244490198791,0.31860477274114435
33,-0.022025986384590582,0.07896789944404528,0.1999899999999992,0.4853929051961254,1.1969081866805145,1.2222861611732583e-13,"(-0.011562289113967566, -0.01843232022571945, -0.7147976292040197, 0.6989927841729515)",-0.5263275490870418,-0.12614753166612877,-9.557248863557911,left,"[0, -50.0, 0, 0]",0.23773033916950226,0.05889924243092537,0.00011859679943881929,0.3162261129302137
34,-0.020007892149729402,0.0839454062451324,0.19998999999999945,0.48434261636668374,1.1946016322609094,6.208922265216188e-14,"(-0.012553637387449702, -0.019183271514734028, -0.7285298250423858, 0.6846303398959523)",-0.5485178357509619,-0.11511397038393277,-9.540408096533561,right,"[0, 50.0, 0, 0]",0.23336710035800934,0.05673287436366081,6.947320343897445e-06,0.3138587125710079
35,-0.017994170998116253,0.08891330789485177,0.19998999999999928,0.48329307638715524,1.1922963959326496,-3.953087857055948e-14,"(-0.013587655225868389, -0.019944986183136216, -0.741948591345156, 0.6700222839223754)",-0.5706712944528336,-0.10410194389242129,-9.52362197674408,left,"[0, -50.0, 0, 0]",0.22906816005706787,0.0546838752925396,0.00010517804184928536,0.31150341944562066
